codigo_a,codigo_b,recomendacion,confianza,razones,evidencia_faltante
16-01-0587-46,16-01-0588-46,requiere_fuente_institucional,alta,"La coincidencia local produjo un candidato, pero dos códigos distintos no prueban duplicación registral, sustitución ni equivalencia. La etiqueta de triage solo define el alcance y no se usa como conclusión.","Fichas MINEDUC de ambos códigos con oferta, sede, vigencia y acto de alta, baja, sustitución o equivalencia."
16-16-0135-46,16-16-0139-46,requiere_fuente_institucional,alta,"La coincidencia local produjo un candidato, pero dos códigos distintos no prueban duplicación registral, sustitución ni equivalencia. La etiqueta de triage solo define el alcance y no se usa como conclusión.","Fichas MINEDUC de ambos códigos con oferta, sede, vigencia y acto de alta, baja, sustitución o equivalencia."
16-03-0088-46,16-03-1520-46,requiere_fuente_institucional,alta,"La coincidencia local produjo un candidato, pero dos códigos distintos no prueban duplicación registral, sustitución ni equivalencia. La etiqueta de triage solo define el alcance y no se usa como conclusión.","Fichas MINEDUC de ambos códigos con oferta, sede, vigencia y acto de alta, baja, sustitución o equivalencia."
16-03-0271-46,16-03-0272-46,requiere_fuente_institucional,alta,"La coincidencia local produjo un candidato, pero dos códigos distintos no prueban duplicación registral, sustitución ni equivalencia. La etiqueta de triage solo define el alcance y no se usa como conclusión.","Fichas MINEDUC de ambos códigos con oferta, sede, vigencia y acto de alta, baja, sustitución o equivalencia."
16-03-0271-46,16-03-0273-46,requiere_fuente_institucional,alta,"La coincidencia local produjo un candidato, pero dos códigos distintos no prueban duplicación registral, sustitución ni equivalencia. La etiqueta de triage solo define el alcance y no se usa como conclusión.","Fichas MINEDUC de ambos códigos con oferta, sede, vigencia y acto de alta, baja, sustitución o equivalencia."
16-03-0272-46,16-03-0273-46,requiere_fuente_institucional,alta,"La coincidencia local produjo un candidato, pero dos códigos distintos no prueban duplicación registral, sustitución ni equivalencia. La etiqueta de triage solo define el alcance y no se usa como conclusión.","Fichas MINEDUC de ambos códigos con oferta, sede, vigencia y acto de alta, baja, sustitución o equivalencia."
16-03-9884-46,16-03-9885-46,requiere_fuente_institucional,alta,"La coincidencia local produjo un candidato, pero dos códigos distintos no prueban duplicación registral, sustitución ni equivalencia. La etiqueta de triage solo define el alcance y no se usa como conclusión.","Fichas MINEDUC de ambos códigos con oferta, sede, vigencia y acto de alta, baja, sustitución o equivalencia."
16-10-0067-46,16-10-1400-46,requiere_fuente_institucional,alta,"La coincidencia local produjo un candidato, pero dos códigos distintos no prueban duplicación registral, sustitución ni equivalencia. La etiqueta de triage solo define el alcance y no se usa como conclusión.","Fichas MINEDUC de ambos códigos con oferta, sede, vigencia y acto de alta, baja, sustitución o equivalencia."
16-09-0007-46,16-09-0870-46,requiere_fuente_institucional,alta,"La coincidencia local produjo un candidato, pero dos códigos distintos no prueban duplicación registral, sustitución ni equivalencia. La etiqueta de triage solo define el alcance y no se usa como conclusión.","Fichas MINEDUC de ambos códigos con oferta, sede, vigencia y acto de alta, baja, sustitución o equivalencia."
16-09-0844-46,16-09-0863-46,requiere_fuente_institucional,alta,"La coincidencia local produjo un candidato, pero dos códigos distintos no prueban duplicación registral, sustitución ni equivalencia. La etiqueta de triage solo define el alcance y no se usa como conclusión.","Fichas MINEDUC de ambos códigos con oferta, sede, vigencia y acto de alta, baja, sustitución o equivalencia."
15-03-0060-46,15-03-0062-46,requiere_fuente_institucional,alta,"La coincidencia local produjo un candidato, pero dos códigos distintos no prueban duplicación registral, sustitución ni equivalencia. La etiqueta de triage solo define el alcance y no se usa como conclusión.","Fichas MINEDUC de ambos códigos con oferta, sede, vigencia y acto de alta, baja, sustitución o equivalencia."
15-03-0778-46,15-03-1888-46,requiere_fuente_institucional,alta,"La coincidencia local produjo un candidato, pero dos códigos distintos no prueban duplicación registral, sustitución ni equivalencia. La etiqueta de triage solo define el alcance y no se usa como conclusión.","Fichas MINEDUC de ambos códigos con oferta, sede, vigencia y acto de alta, baja, sustitución o equivalencia."
15-01-0112-46,15-01-0114-46,requiere_fuente_institucional,alta,"La coincidencia local produjo un candidato, pero dos códigos distintos no prueban duplicación registral, sustitución ni equivalencia. La etiqueta de triage solo define el alcance y no se usa como conclusión.","Fichas MINEDUC de ambos códigos con oferta, sede, vigencia y acto de alta, baja, sustitución o equivalencia."
15-01-0113-46,15-01-0115-46,requiere_fuente_institucional,alta,"La coincidencia local produjo un candidato, pero dos códigos distintos no prueban duplicación registral, sustitución ni equivalencia. La etiqueta de triage solo define el alcance y no se usa como conclusión.","Fichas MINEDUC de ambos códigos con oferta, sede, vigencia y acto de alta, baja, sustitución o equivalencia."
15-01-0157-46,15-01-0160-46,requiere_fuente_institucional,alta,"La coincidencia local produjo un candidato, pero dos códigos distintos no prueban duplicación registral, sustitución ni equivalencia. La etiqueta de triage solo define el alcance y no se usa como conclusión.","Fichas MINEDUC de ambos códigos con oferta, sede, vigencia y acto de alta, baja, sustitución o equivalencia."
15-02-0107-46,15-02-0108-46,requiere_fuente_institucional,alta,"La coincidencia local produjo un candidato, pero dos códigos distintos no prueban duplicación registral, sustitución ni equivalencia. La etiqueta de triage solo define el alcance y no se usa como conclusión.","Fichas MINEDUC de ambos códigos con oferta, sede, vigencia y acto de alta, baja, sustitución o equivalencia."
04-01-0180-46,04-01-0238-46,requiere_fuente_institucional,alta,"La coincidencia local produjo un candidato, pero dos códigos distintos no prueban duplicación registral, sustitución ni equivalencia. La etiqueta de triage solo define el alcance y no se usa como conclusión.","Fichas MINEDUC de ambos códigos con oferta, sede, vigencia y acto de alta, baja, sustitución o equivalencia."
04-01-0199-46,04-01-2294-46,requiere_fuente_institucional,alta,"La coincidencia local produjo un candidato, pero dos códigos distintos no prueban duplicación registral, sustitución ni equivalencia. La etiqueta de triage solo define el alcance y no se usa como conclusión.","Fichas MINEDUC de ambos códigos con oferta, sede, vigencia y acto de alta, baja, sustitución o equivalencia."
04-01-0232-46,04-01-0245-46,requiere_fuente_institucional,alta,"La coincidencia local produjo un candidato, pero dos códigos distintos no prueban duplicación registral, sustitución ni equivalencia. La etiqueta de triage solo define el alcance y no se usa como conclusión.","Fichas MINEDUC de ambos códigos con oferta, sede, vigencia y acto de alta, baja, sustitución o equivalencia."
04-01-0264-46,04-01-0266-46,requiere_fuente_institucional,alta,"La coincidencia local produjo un candidato, pero dos códigos distintos no prueban duplicación registral, sustitución ni equivalencia. La etiqueta de triage solo define el alcance y no se usa como conclusión.","Fichas MINEDUC de ambos códigos con oferta, sede, vigencia y acto de alta, baja, sustitución o equivalencia."
04-01-0285-46,04-01-0287-46,requiere_fuente_institucional,alta,"La coincidencia local produjo un candidato, pero dos códigos distintos no prueban duplicación registral, sustitución ni equivalencia. La etiqueta de triage solo define el alcance y no se usa como conclusión.","Fichas MINEDUC de ambos códigos con oferta, sede, vigencia y acto de alta, baja, sustitución o equivalencia."
04-01-0286-46,04-01-0288-46,requiere_fuente_institucional,alta,"La coincidencia local produjo un candidato, pero dos códigos distintos no prueban duplicación registral, sustitución ni equivalencia. La etiqueta de triage solo define el alcance y no se usa como conclusión.","Fichas MINEDUC de ambos códigos con oferta, sede, vigencia y acto de alta, baja, sustitución o equivalencia."
04-01-0300-46,04-01-0301-46,requiere_fuente_institucional,alta,"La coincidencia local produjo un candidato, pero dos códigos distintos no prueban duplicación registral, sustitución ni equivalencia. La etiqueta de triage solo define el alcance y no se usa como conclusión.","Fichas MINEDUC de ambos códigos con oferta, sede, vigencia y acto de alta, baja, sustitución o equivalencia."
04-01-2699-46,04-01-2997-46,requiere_fuente_institucional,alta,"La coincidencia local produjo un candidato, pero dos códigos distintos no prueban duplicación registral, sustitución ni equivalencia. La etiqueta de triage solo define el alcance y no se usa como conclusión.","Fichas MINEDUC de ambos códigos con oferta, sede, vigencia y acto de alta, baja, sustitución o equivalencia."
04-01-2747-46,04-01-2934-46,requiere_fuente_institucional,alta,"La coincidencia local produjo un candidato, pero dos códigos distintos no prueban duplicación registral, sustitución ni equivalencia. La etiqueta de triage solo define el alcance y no se usa como conclusión.","Fichas MINEDUC de ambos códigos con oferta, sede, vigencia y acto de alta, baja, sustitución o equivalencia."
04-01-2900-46,04-01-2901-46,requiere_fuente_institucional,alta,"La coincidencia local produjo un candidato, pero dos códigos distintos no prueban duplicación registral, sustitución ni equivalencia. La etiqueta de triage solo define el alcance y no se usa como conclusión.","Fichas MINEDUC de ambos códigos con oferta, sede, vigencia y acto de alta, baja, sustitución o equivalencia."
04-01-2941-46,04-01-2942-46,requiere_fuente_institucional,alta,"La coincidencia local produjo un candidato, pero dos códigos distintos no prueban duplicación registral, sustitución ni equivalencia. La etiqueta de triage solo define el alcance y no se usa como conclusión.","Fichas MINEDUC de ambos códigos con oferta, sede, vigencia y acto de alta, baja, sustitución o equivalencia."
04-01-3253-46,04-01-3254-46,requiere_fuente_institucional,alta,"La coincidencia local produjo un candidato, pero dos códigos distintos no prueban duplicación registral, sustitución ni equivalencia. La etiqueta de triage solo define el alcance y no se usa como conclusión.","Fichas MINEDUC de ambos códigos con oferta, sede, vigencia y acto de alta, baja, sustitución o equivalencia."
04-03-0218-46,04-03-0229-46,requiere_fuente_institucional,alta,"La coincidencia local produjo un candidato, pero dos códigos distintos no prueban duplicación registral, sustitución ni equivalencia. La etiqueta de triage solo define el alcance y no se usa como conclusión.","Fichas MINEDUC de ambos códigos con oferta, sede, vigencia y acto de alta, baja, sustitución o equivalencia."
04-12-0043-46,04-12-0051-46,requiere_fuente_institucional,alta,"La coincidencia local produjo un candidato, pero dos códigos distintos no prueban duplicación registral, sustitución ni equivalencia. La etiqueta de triage solo define el alcance y no se usa como conclusión.","Fichas MINEDUC de ambos códigos con oferta, sede, vigencia y acto de alta, baja, sustitución o equivalencia."
20-01-0176-46,20-01-2341-46,requiere_fuente_institucional,alta,"La coincidencia local produjo un candidato, pero dos códigos distintos no prueban duplicación registral, sustitución ni equivalencia. La etiqueta de triage solo define el alcance y no se usa como conclusión.","Fichas MINEDUC de ambos códigos con oferta, sede, vigencia y acto de alta, baja, sustitución o equivalencia."
20-01-0178-46,20-01-0179-46,requiere_fuente_institucional,alta,"La coincidencia local produjo un candidato, pero dos códigos distintos no prueban duplicación registral, sustitución ni equivalencia. La etiqueta de triage solo define el alcance y no se usa como conclusión.","Fichas MINEDUC de ambos códigos con oferta, sede, vigencia y acto de alta, baja, sustitución o equivalencia."
20-11-0050-46,20-11-0051-46,requiere_fuente_institucional,alta,"La coincidencia local produjo un candidato, pero dos códigos distintos no prueban duplicación registral, sustitución ni equivalencia. La etiqueta de triage solo define el alcance y no se usa como conclusión.","Fichas MINEDUC de ambos códigos con oferta, sede, vigencia y acto de alta, baja, sustitución o equivalencia."
20-04-0134-46,20-04-0135-46,requiere_fuente_institucional,alta,"La coincidencia local produjo un candidato, pero dos códigos distintos no prueban duplicación registral, sustitución ni equivalencia. La etiqueta de triage solo define el alcance y no se usa como conclusión.","Fichas MINEDUC de ambos códigos con oferta, sede, vigencia y acto de alta, baja, sustitución o equivalencia."
20-09-0040-46,20-09-1525-46,requiere_fuente_institucional,alta,"La coincidencia local produjo un candidato, pero dos códigos distintos no prueban duplicación registral, sustitución ni equivalencia. La etiqueta de triage solo define el alcance y no se usa como conclusión.","Fichas MINEDUC de ambos códigos con oferta, sede, vigencia y acto de alta, baja, sustitución o equivalencia."
00-01-0219-46,00-01-0506-46,requiere_fuente_institucional,alta,"La coincidencia local produjo un candidato, pero dos códigos distintos no prueban duplicación registral, sustitución ni equivalencia. La etiqueta de triage solo define el alcance y no se usa como conclusión.","Fichas MINEDUC de ambos códigos con oferta, sede, vigencia y acto de alta, baja, sustitución o equivalencia."
00-01-0225-46,00-01-0706-46,requiere_fuente_institucional,alta,"La coincidencia local produjo un candidato, pero dos códigos distintos no prueban duplicación registral, sustitución ni equivalencia. La etiqueta de triage solo define el alcance y no se usa como conclusión.","Fichas MINEDUC de ambos códigos con oferta, sede, vigencia y acto de alta, baja, sustitución o equivalencia."
00-01-0248-46,00-01-0541-46,requiere_fuente_institucional,alta,"La coincidencia local produjo un candidato, pero dos códigos distintos no prueban duplicación registral, sustitución ni equivalencia. La etiqueta de triage solo define el alcance y no se usa como conclusión.","Fichas MINEDUC de ambos códigos con oferta, sede, vigencia y acto de alta, baja, sustitución o equivalencia."
00-01-0280-46,00-01-9057-46,requiere_fuente_institucional,alta,"La coincidencia local produjo un candidato, pero dos códigos distintos no prueban duplicación registral, sustitución ni equivalencia. La etiqueta de triage solo define el alcance y no se usa como conclusión.","Fichas MINEDUC de ambos códigos con oferta, sede, vigencia y acto de alta, baja, sustitución o equivalencia."
00-01-0292-46,00-01-0293-46,requiere_fuente_institucional,alta,"La coincidencia local produjo un candidato, pero dos códigos distintos no prueban duplicación registral, sustitución ni equivalencia. La etiqueta de triage solo define el alcance y no se usa como conclusión.","Fichas MINEDUC de ambos códigos con oferta, sede, vigencia y acto de alta, baja, sustitución o equivalencia."
00-01-0318-46,00-01-0595-46,requiere_fuente_institucional,alta,"La coincidencia local produjo un candidato, pero dos códigos distintos no prueban duplicación registral, sustitución ni equivalencia. La etiqueta de triage solo define el alcance y no se usa como conclusión.","Fichas MINEDUC de ambos códigos con oferta, sede, vigencia y acto de alta, baja, sustitución o equivalencia."
00-01-0322-46,00-01-0323-46,requiere_fuente_institucional,alta,"La coincidencia local produjo un candidato, pero dos códigos distintos no prueban duplicación registral, sustitución ni equivalencia. La etiqueta de triage solo define el alcance y no se usa como conclusión.","Fichas MINEDUC de ambos códigos con oferta, sede, vigencia y acto de alta, baja, sustitución o equivalencia."
00-01-0347-46,00-01-0348-46,requiere_fuente_institucional,alta,"La coincidencia local produjo un candidato, pero dos códigos distintos no prueban duplicación registral, sustitución ni equivalencia. La etiqueta de triage solo define el alcance y no se usa como conclusión.","Fichas MINEDUC de ambos códigos con oferta, sede, vigencia y acto de alta, baja, sustitución o equivalencia."
00-01-0363-46,00-01-0364-46,requiere_fuente_institucional,alta,"La coincidencia local produjo un candidato, pero dos códigos distintos no prueban duplicación registral, sustitución ni equivalencia. La etiqueta de triage solo define el alcance y no se usa como conclusión.","Fichas MINEDUC de ambos códigos con oferta, sede, vigencia y acto de alta, baja, sustitución o equivalencia."
00-01-0366-46,00-01-2908-46,requiere_fuente_institucional,alta,"La coincidencia local produjo un candidato, pero dos códigos distintos no prueban duplicación registral, sustitución ni equivalencia. La etiqueta de triage solo define el alcance y no se usa como conclusión.","Fichas MINEDUC de ambos códigos con oferta, sede, vigencia y acto de alta, baja, sustitución o equivalencia."
00-01-0376-46,00-01-0377-46,requiere_fuente_institucional,alta,"La coincidencia local produjo un candidato, pero dos códigos distintos no prueban duplicación registral, sustitución ni equivalencia. La etiqueta de triage solo define el alcance y no se usa como conclusión.","Fichas MINEDUC de ambos códigos con oferta, sede, vigencia y acto de alta, baja, sustitución o equivalencia."
00-01-0388-46,00-01-0390-46,requiere_fuente_institucional,alta,"La coincidencia local produjo un candidato, pero dos códigos distintos no prueban duplicación registral, sustitución ni equivalencia. La etiqueta de triage solo define el alcance y no se usa como conclusión.","Fichas MINEDUC de ambos códigos con oferta, sede, vigencia y acto de alta, baja, sustitución o equivalencia."
00-01-0407-46,00-01-0409-46,requiere_fuente_institucional,alta,"La coincidencia local produjo un candidato, pero dos códigos distintos no prueban duplicación registral, sustitución ni equivalencia. La etiqueta de triage solo define el alcance y no se usa como conclusión.","Fichas MINEDUC de ambos códigos con oferta, sede, vigencia y acto de alta, baja, sustitución o equivalencia."
00-01-0458-46,00-01-0460-46,requiere_fuente_institucional,alta,"La coincidencia local produjo un candidato, pero dos códigos distintos no prueban duplicación registral, sustitución ni equivalencia. La etiqueta de triage solo define el alcance y no se usa como conclusión.","Fichas MINEDUC de ambos códigos con oferta, sede, vigencia y acto de alta, baja, sustitución o equivalencia."
00-01-0467-46,00-01-0468-46,requiere_fuente_institucional,alta,"La coincidencia local produjo un candidato, pero dos códigos distintos no prueban duplicación registral, sustitución ni equivalencia. La etiqueta de triage solo define el alcance y no se usa como conclusión.","Fichas MINEDUC de ambos códigos con oferta, sede, vigencia y acto de alta, baja, sustitución o equivalencia."
00-01-0467-46,00-01-0475-46,requiere_fuente_institucional,alta,"La coincidencia local produjo un candidato, pero dos códigos distintos no prueban duplicación registral, sustitución ni equivalencia. La etiqueta de triage solo define el alcance y no se usa como conclusión.","Fichas MINEDUC de ambos códigos con oferta, sede, vigencia y acto de alta, baja, sustitución o equivalencia."
00-01-0468-46,00-01-0475-46,requiere_fuente_institucional,alta,"La coincidencia local produjo un candidato, pero dos códigos distintos no prueban duplicación registral, sustitución ni equivalencia. La etiqueta de triage solo define el alcance y no se usa como conclusión.","Fichas MINEDUC de ambos códigos con oferta, sede, vigencia y acto de alta, baja, sustitución o equivalencia."
00-01-0520-46,00-01-0521-46,requiere_fuente_institucional,alta,"La coincidencia local produjo un candidato, pero dos códigos distintos no prueban duplicación registral, sustitución ni equivalencia. La etiqueta de triage solo define el alcance y no se usa como conclusión.","Fichas MINEDUC de ambos códigos con oferta, sede, vigencia y acto de alta, baja, sustitución o equivalencia."
00-01-0534-46,00-01-2385-46,requiere_fuente_institucional,alta,"La coincidencia local produjo un candidato, pero dos códigos distintos no prueban duplicación registral, sustitución ni equivalencia. La etiqueta de triage solo define el alcance y no se usa como conclusión.","Fichas MINEDUC de ambos códigos con oferta, sede, vigencia y acto de alta, baja, sustitución o equivalencia."
00-01-0534-46,00-01-9773-46,requiere_fuente_institucional,alta,"La coincidencia local produjo un candidato, pero dos códigos distintos no prueban duplicación registral, sustitución ni equivalencia. La etiqueta de triage solo define el alcance y no se usa como conclusión.","Fichas MINEDUC de ambos códigos con oferta, sede, vigencia y acto de alta, baja, sustitución o equivalencia."
00-01-0546-46,00-01-0742-46,requiere_fuente_institucional,alta,"La coincidencia local produjo un candidato, pero dos códigos distintos no prueban duplicación registral, sustitución ni equivalencia. La etiqueta de triage solo define el alcance y no se usa como conclusión.","Fichas MINEDUC de ambos códigos con oferta, sede, vigencia y acto de alta, baja, sustitución o equivalencia."
