CODIGO,valor,grupo_vigente,patron,recomendacion,propuesta,razon
00-01-0185-46,22202870-73,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
00-01-0188-46,22320559-22320560,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
00-01-0189-46,2517748 2384159,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
00-01-0263-46,22202870-73,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
00-01-0277-46,2202869-2202873,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
00-01-0642-46,230835,numerico_longitud_incorrecta,numerico_longitud_6,requiere_fuente_institucional,Sin transformación automática,La longitud no permite inferir de forma inequívoca un teléfono válido de 8 dígitos.
00-01-0656-46,2232068,numerico_longitud_incorrecta,numerico_longitud_7,requiere_fuente_institucional,Sin transformación automática,La longitud no permite inferir de forma inequívoca un teléfono válido de 8 dígitos.
00-01-0712-46,2267425,numerico_longitud_incorrecta,numerico_longitud_7,requiere_fuente_institucional,Sin transformación automática,La longitud no permite inferir de forma inequívoca un teléfono válido de 8 dígitos.
00-01-0719-46,2223228,numerico_longitud_incorrecta,numerico_longitud_7,requiere_fuente_institucional,Sin transformación automática,La longitud no permite inferir de forma inequívoca un teléfono válido de 8 dígitos.
00-01-0772-46,2232379,numerico_longitud_incorrecta,numerico_longitud_7,requiere_fuente_institucional,Sin transformación automática,La longitud no permite inferir de forma inequívoca un teléfono válido de 8 dígitos.
00-01-2473-46,"25763,26725 Y 21568",no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
00-01-3087-46,"25763, 26725 Y 21568",no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
00-01-4112-46,"2325732, 2320075, 2307014",no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
00-01-4414-46,"26725,25763 Y 21568",no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
00-01-7010-46,23267252-09442325,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
00-01-7096-46,23267252-09442325,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
